Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_EIA-3216-10_Kemet-I_HandSolder,2,10u,
D1,D_MiniMELF_Handsoldering,1,D_Schottky_Small,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RC_CABLE,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,HP_CABLE,
J3,PinHeader_1x04_P2.54mm_Vertical,1,ESP_PROG,
"Q1, Q2, Q3, Q5, Q6, Q7",SOT-23,6,BC847,
Q4,SOT-23,1,BC857,
"R1, R11, R3, R4, R6, R7",1206,6,1k,
"R10, R12, R2, R8, R9",1206,5,10k,
R5,1206,1,20k,
SW1,0508,1,Flash,
SW2,SW_Push_SPST_NO_Alps_SKRK,1,RESET,
U1,ESP-12E,1,ESP-12E,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
